Transaction_Type,Property_Type,Municipality,Neighborhood,Price,Land_Area,Construction_Area,Price_per_SqMeter_Land,Price_per_SqMeter_Construction
Rental,Casa,ZAPOPAN,CIUDAD GRANJA,25000.0,,,,
Rental,Casa,GUADALAJARA,VALLARTA PONIENTE,55000.0,,,,
Rental,Departamento,ZAPOPAN,,12500.0,,,,
Rental,Departamento,ZAPOPAN,,12000.0,,,,
Rental,Departamento,GUADALAJARA,LADRON DE GUEVARA,24000.0,,,,
Rental,Departamento,GUADALAJARA,,22000.0,,,,
Rental,Departamento,TLAQUEPAQUE,,14800.0,,,,
Rental,Departamento,ZAPOPAN,,26000.0,,,,
Rental,Departamento,TLAQUEPAQUE,,14000.0,,,,
Rental,Casa,ZAPOPAN,,22000.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA,23000.0,,,,
Rental,Casa,GUADALAJARA,MORELOS,14000.0,,,,
Rental,Casa,ZAPOPAN,VILLA UNIVERSITARIA,50000.0,,,,
Rental,Departamento,TLAQUEPAQUE,,9000.0,,,,
Rental,Casa,TLAJOMULCO,,14000.0,,,,
Rental,Departamento,ZAPOPAN,,23000.0,,,,
Rental,Departamento,GUADALAJARA,,24000.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA 4a SECCION,61700.0,,,,
Rental,Departamento,ZAPOPAN,LOMAS ALTAS,22900.0,,,,
Rental,Casa,GUADALAJARA,AMERICANA,30000.0,,,,
Rental,Departamento,TLAJOMULCO,HACIENDA DEL ORO,18000.0,,,,
Rental,Casa,GUADALAJARA,PRADOS PROVIDENCIA,35000.0,,,,
Rental,Casa,ZAPOPAN,,40000.0,,,,
Rental,Departamento,GUADALAJARA,,24000.0,,,,
Rental,Casa,ZAPOPAN,,38000.0,,,,
Rental,Departamento,TLAQUEPAQUE,PAISAJES DEL TESORO,15000.0,,,,
Rental,Departamento,GUADALAJARA,COUNTRY CLUB,60000.0,,,,
Rental,Casa,ZAPOPAN,,17000.0,,,,
Rental,Departamento,ZAPOPAN,,40000.0,,,,
Rental,Departamento,ZAPOPAN,VICTORIA,12500.0,,,,
Rental,Casa,TLAJOMULCO,,11900.0,,,,
Rental,Casa,GUADALAJARA,VALLARTA,70000.0,,,,
Rental,Casa,GUADALAJARA,VICTORIA,25000.0,,,,
Rental,Casa,GUADALAJARA,COUNTRY CLUB,18000.0,,,,
Rental,Casa,ZAPOPAN,LA CIMA,19500.0,,,,
Rental,Casa,ZAPOPAN,JARDINES UNIVERSIDAD,89000.0,,,,
Rental,Departamento,ZAPOPAN,,14000.0,,,,
Rental,Departamento,ZAPOPAN,,25000.0,,,,
Rental,Departamento,ZAPOPAN,,19000.0,,,,
Rental,Departamento,GUADALAJARA,,30000.0,,,,
Rental,Casa,ZAPOPAN,SANTILLANA,25500.0,,,,
Rental,Departamento,ZAPOPAN,JARDINES DE LA PATRIA,26900.0,,,,
Rental,Casa,TONALA,DEL MEZQUITE,5200.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA,42000.0,,,,
Rental,Departamento,GUADALAJARA,COLOMOS PROVIDENCIA,27000.0,,,,
Rental,Departamento,ZAPOPAN,,24900.0,,,,
Rental,Departamento,ZAPOPAN,ATLAS CHAPALITA,22500.0,,,,
Rental,Casa,ZAPOPAN,CHAPALITA SUR,41200.0,,,,
Rental,Departamento,TLAJOMULCO,PUNTO SUR,25000.0,,,,
Rental,Casa,ZAPOPAN,PUERTA DE HIERRO,99000.0,,,,
Rental,Departamento,GUADALAJARA,,13500.0,,,,
Rental,Departamento,GUADALAJARA,LADRON DE GUEVARA,10500.0,,,,
Rental,Departamento,ZAPOPAN,COLLI CTM,15000.0,,,,
Rental,Departamento,ZAPOPAN,,32000.0,,,,
Rental,Casa,ZAPOPAN,,13500.0,,,,
Rental,Departamento,ZAPOPAN,JARDINES UNIVERSIDAD,27000.0,,,,
Rental,Departamento,TLAQUEPAQUE,LOMAS DE TLAQUEPAQUE,10500.0,,,,
Rental,Casa,ZAPOPAN,VALLARTA UNIVERSIDAD,35000.0,,,,
Rental,Casa,ZAPOPAN,,16000.0,,,,
Rental,Departamento,GUADALAJARA,PRADOS PROVIDENCIA,27000.0,,,,
Rental,Departamento,GUADALAJARA,LAS TORRES,19000.0,,,,
Rental,Departamento,ZAPOPAN,,36000.0,,,,
Rental,Departamento,ZAPOPAN,JARDINES UNIVERSIDAD,19500.0,,,,
Rental,Casa,ZAPOPAN,PARQUES DE TESISTAN III,11000.0,,,,
Rental,Departamento,GUADALAJARA,AYUNTAMIENTO,23500.0,,,,
Rental,Departamento,EL SALTO,CLUB DE GOLF ATLAS,10500.0,,,,
Rental,Departamento,ZAPOPAN,REAL DE VALDEPEÃ‘AS,12500.0,,,,
Rental,Departamento,ZAPOPAN,,4600.0,,,,
Rental,Departamento,GUADALAJARA,AYUNTAMIENTO,20600.0,,,,
Rental,Casa,TLAQUEPAQUE,,8500.0,,,,
Rental,Departamento,GUADALAJARA,ARCOS,20000.0,,,,
Rental,Casa,TLAJOMULCO,,7500.0,,,,
Rental,Departamento,TLAQUEPAQUE,PARQUES DEL BOSQUE,13000.0,,,,
Rental,Casa,ZAPOPAN,JARDINES DE GUADALUPE,23000.0,,,,
Rental,Departamento,ZAPOPAN,JARDINES DEL IXTEPETE,12000.0,,,,
Rental,Departamento,GUADALAJARA,LOMAS DE PROVIDENCIA,28500.0,,,,
Rental,Departamento,GUADALAJARA,,16000.0,,,,
Rental,Departamento,GUADALAJARA,,9000.0,,,,
Rental,Departamento,ZAPOPAN,,7200.0,,,,
Rental,Departamento,GUADALAJARA,,25000.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA 4a SECCION,28000.0,,,,
Rental,Departamento,TLAQUEPAQUE,,6500.0,,,,
Rental,Departamento,GUADALAJARA,,12900.0,,,,
Rental,Departamento,GUADALAJARA,AMERICANA,12000.0,,,,
Rental,Casa,TLAJOMULCO,,13000.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA 4a SECCION,28000.0,,,,
Rental,Casa,ZAPOPAN,BOSQUES VALLARTA,29000.0,,,,
Rental,Casa,GUADALAJARA,VALLARTA NORTE,35000.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA 2a SECCION,14500.0,,,,
Rental,Casa,TLAJOMULCO,CORTIJO SAN AGUSTIN,15000.0,,,,
Rental,Departamento,ZAPOPAN,JARDINES UNIVERSIDAD,12000.0,,,,
Rental,Casa,ZAPOPAN,,55000.0,,,,
Rental,Casa,ZAPOPAN,REAL DEL BOSQUE,9800.0,,,,
Rental,Departamento,GUADALAJARA,,8500.0,,,,
Rental,Casa,ZAPOPAN,,16500.0,,,,
Rental,Departamento,ZAPOPAN,,24500.0,,,,
Rental,Departamento,GUADALAJARA,AMERICANA,23000.0,,,,
Rental,Departamento,ZAPOPAN,VALLE REAL,33000.0,,,,
Rental,Casa,GUADALAJARA,,20000.0,,,,
Rental,Casa,TLAJOMULCO,EL PALOMAR,35000.0,,,,
Rental,Departamento,ZAPOPAN,,13000.0,,,,
Rental,Departamento,GUADALAJARA,COUNTRY CLUB,31000.0,,,,
Rental,Departamento,GUADALAJARA,,25000.0,,,,
Rental,Departamento,ZAPOPAN,,14500.0,,,,
Rental,Departamento,GUADALAJARA,,35000.0,,,,
Rental,Casa,ZAPOPAN,SANTA FE,23000.0,,,,
Rental,Departamento,TLAJOMULCO,,24800.0,,,,
Rental,Casa,TLAJOMULCO,LOMAS DE SAN AGUSTIN,4500.0,,,,
Rental,Departamento,GUADALAJARA,PROVIDENCIA,29500.0,,,,
Rental,Casa,GUADALAJARA,,12000.0,,,,
Rental,Departamento,ZAPOPAN,,26000.0,,,,
Rental,Departamento,GUADALAJARA,ARCOS VALLARTA,17000.0,,,,
Rental,Departamento,ZAPOPAN,LOMA BONITA,12000.0,,,,
Rental,Casa,ZAPOPAN,PONTEVEDRA,75000.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DE HIERRO,32000.0,,,,
Rental,Casa,TLAQUEPAQUE,,15900.0,,,,
Rental,Departamento,GUADALAJARA,CHAPALITA,29000.0,,,,
Rental,Casa,ZAPOPAN,,55000.0,,,,
Rental,Departamento,GUADALAJARA,COLOMOS PROVIDENCIA,28000.0,,,,
Rental,Departamento,GUADALAJARA,REVOLUCION,9500.0,,,,
Rental,Departamento,GUADALAJARA,,9500.0,,,,
Rental,Departamento,ZAPOPAN,,14000.0,,,,
Rental,Departamento,GUADALAJARA,COUNTRY CLUB,32000.0,,,,
Rental,Departamento,TLAJOMULCO,,26000.0,,,,
Rental,Departamento,GUADALAJARA,HUENTITAN EL ALTO,8500.0,,,,
Rental,Departamento,ZAPOPAN,,30000.0,,,,
Rental,Casa,ZAPOPAN,,16500.0,,,,
Rental,Casa,ZAPOPAN,MITICA RESIDENCIAL,50000.0,,,,
